Repository Name,Description,Last Update Date,Language,Number of Stars,Tags,Url
react-router,Declarative routing for React,2017-06-23T18:06:10Z,JavaScript,23k,,https://github.com/ReactTraining/react-router
Ghost,"A simple, powerful publishing platform",2017-06-24T07:31:30Z,JavaScript,23k,"javascript,blogging,journalism,publishing,web-application",https://github.com/TryGhost/Ghost
angular-styleguide,Angular Style Guide: A starting point for Angular development teams to provide consistency through good practices.,2017-05-30T22:32:13Z,,22.9k,,https://github.com/johnpapa/angular-styleguide
json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),2017-06-22T18:24:06Z,JavaScript,22.8k,,https://github.com/typicode/json-server
phantomjs,Scriptable Headless WebKit,2017-06-18T15:10:12Z,HTML,22.5k,,https://github.com/ariya/phantomjs
computer-science, Path to a free self-taught education in Computer Science!,2017-06-10T14:19:21Z,,22.5k,"computer-science,courses,awesome-list",https://github.com/open-source-society/computer-science
github-cheat-sheet,A list of cool features of Git and GitHub.,2017-04-23T11:54:18Z,,22.3k,"list,awesome,awesome-list",https://github.com/tiimgreen/github-cheat-sheet
rust,"A safe, concurrent, practical language.",2017-06-24T19:28:33Z,Rust,22.3k,"rust,compiler",https://github.com/rust-lang/rust
retrofit,"Type-safe HTTP client for Android and Java by Square, Inc.",2017-06-23T18:50:14Z,Java,22k,,https://github.com/square/retrofit
discourse,"A platform for community discussion. Free, open, simple.",2017-06-23T21:20:59Z,Ruby,21.9k,"ruby,rails,discourse,emberjs",https://github.com/discourse/discourse
netdata,Get control of your servers. Simple. Effective. Awesome! https://my-netdata.io/,2017-06-22T23:11:14Z,C,21.9k,"monitoring,metrics,iot,linux,notifications,macos,agent,docker,freebsd,alarm,status,benchmark,performance,real-time,monitor,dashboard,health-check,web-analytics,statuspage,statsd",https://github.com/firehol/netdata
frontend-dev-bookmarks,Manually curated collection of resources for frontend web developers.,2017-05-24T04:51:50Z,,21.9k,"list,awesome,frontend,awesome-list",https://github.com/dypsilon/frontend-dev-bookmarks
axios,Promise based HTTP client for the browser and node.js,2017-06-23T20:57:16Z,JavaScript,21.8k,"javascript,promise,nodejs,http-client",https://github.com/mzabriskie/axios
awesome-go,"A curated list of awesome Go frameworks, libraries and software",2017-06-24T17:28:07Z,Go,21.6k,"golang-library,go,golang,awesome,awesome-list",https://github.com/avelino/awesome-go
async,Async utilities for node and the browser,2017-06-23T04:21:38Z,JavaScript,21.6k,"javascript,async,callbacks",https://github.com/caolan/async
babel, Babel is a compiler for writing next generation JavaScript.,2017-06-24T20:00:43Z,JavaScript,21.5k,"babel,javascript,compiler,ast,flavortown",https://github.com/babel/babel
todomvc,"Helping you select an MV* framework - Todo apps for Backbone.js, Ember.js, AngularJS, and many more",2017-06-21T19:35:39Z,JavaScript,21.3k,,https://github.com/tastejs/todomvc
big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as use,2017-05-26T17:09:45Z,Python,21.2k,,https://github.com/minimaxir/big-list-of-naughty-strings
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",2017-06-23T16:10:23Z,Python,21.2k,"python,crawler,framework,scraping,crawling",https://github.com/scrapy/scrapy
underscore,JavaScript's utility _ belt,2017-06-19T15:36:56Z,JavaScript,20.9k,,https://github.com/jashkenas/underscore
